Subject,Performance,test.cond
o1_highway_C1,0.823888116,Familiar Object Novel Background vs. Novel Object Novel Background
o1_highway_C2,0.774409362,Familiar Object Novel Background vs. Novel Object Novel Background
o1_highway_C3,0.878543678,Familiar Object Novel Background vs. Novel Object Novel Background
o1_highway_C4,0.666174972,Familiar Object Novel Background vs. Novel Object Novel Background
o1_highway_C5,0.728370471,Familiar Object Novel Background vs. Novel Object Novel Background
o2_highway_C1,0.893385664,Familiar Object Novel Background vs. Novel Object Novel Background
o2_highway_C2,0.64886525,Familiar Object Novel Background vs. Novel Object Novel Background
o2_highway_C3,0.628141675,Familiar Object Novel Background vs. Novel Object Novel Background
o2_highway_C4,0.659863177,Familiar Object Novel Background vs. Novel Object Novel Background
o2_highway_C5,0.726226164,Familiar Object Novel Background vs. Novel Object Novel Background
o2_highway_C6,0.685786015,Familiar Object Novel Background vs. Novel Object Novel Background
o1_beach_C1,0.683451016,Familiar Object Novel Background vs. Novel Object Novel Background
o1_beach_C2,0.490077173,Familiar Object Novel Background vs. Novel Object Novel Background
o1_beach_C3,0.646481964,Familiar Object Novel Background vs. Novel Object Novel Background
o1_beach_C4,0.883947655,Familiar Object Novel Background vs. Novel Object Novel Background
o1_beach_C5,0.797743266,Familiar Object Novel Background vs. Novel Object Novel Background
o1_beach_C6,0.883002114,Familiar Object Novel Background vs. Novel Object Novel Background
o2_beach_C1,0.650247204,Familiar Object Novel Background vs. Novel Object Novel Background
o2_beach_C2,0.749652739,Familiar Object Novel Background vs. Novel Object Novel Background
o2_beach_C3,0.821864978,Familiar Object Novel Background vs. Novel Object Novel Background
o2_beach_C4,0.802221107,Familiar Object Novel Background vs. Novel Object Novel Background
o2_beach_C5,0.651864285,Familiar Object Novel Background vs. Novel Object Novel Background
o2_beach_C6,0.800491686,Familiar Object Novel Background vs. Novel Object Novel Background
o1_forest_C1,0.797924512,Familiar Object Novel Background vs. Novel Object Novel Background
o1_forest_C2,0.806411838,Familiar Object Novel Background vs. Novel Object Novel Background
o1_forest_C3,0.74806239,Familiar Object Novel Background vs. Novel Object Novel Background
o1_forest_C4,0.597519634,Familiar Object Novel Background vs. Novel Object Novel Background
o1_forest_C5,0.605336908,Familiar Object Novel Background vs. Novel Object Novel Background
o2_forest_C3,0.657043339,Familiar Object Novel Background vs. Novel Object Novel Background
o2_forest_C4,0.709763154,Familiar Object Novel Background vs. Novel Object Novel Background
o2_forest_C6,0.588983276,Familiar Object Novel Background vs. Novel Object Novel Background
o1_highway_C1,0.85506525,Familiar Object Familiar Background vs. Novel Object Familiar Background
o1_highway_C2,0.654969338,Familiar Object Familiar Background vs. Novel Object Familiar Background
o1_highway_C3,0.849836637,Familiar Object Familiar Background vs. Novel Object Familiar Background
o1_highway_C4,0.771973881,Familiar Object Familiar Background vs. Novel Object Familiar Background
o1_highway_C5,0.631057839,Familiar Object Familiar Background vs. Novel Object Familiar Background
o2_highway_C1,0.906921221,Familiar Object Familiar Background vs. Novel Object Familiar Background
o2_highway_C2,0.666661105,Familiar Object Familiar Background vs. Novel Object Familiar Background
o2_highway_C3,0.582380658,Familiar Object Familiar Background vs. Novel Object Familiar Background
o2_highway_C4,0.579476732,Familiar Object Familiar Background vs. Novel Object Familiar Background
o2_highway_C5,0.668244069,Familiar Object Familiar Background vs. Novel Object Familiar Background
o2_highway_C6,0.683952788,Familiar Object Familiar Background vs. Novel Object Familiar Background
o1_beach_C1,0.696865909,Familiar Object Familiar Background vs. Novel Object Familiar Background
o1_beach_C2,0.595385804,Familiar Object Familiar Background vs. Novel Object Familiar Background
o1_beach_C3,0.500444609,Familiar Object Familiar Background vs. Novel Object Familiar Background
o1_beach_C4,0.908621707,Familiar Object Familiar Background vs. Novel Object Familiar Background
o1_beach_C5,0.711471374,Familiar Object Familiar Background vs. Novel Object Familiar Background
o1_beach_C6,0.938951245,Familiar Object Familiar Background vs. Novel Object Familiar Background
o2_beach_C1,0.697306775,Familiar Object Familiar Background vs. Novel Object Familiar Background
o2_beach_C2,0.724868742,Familiar Object Familiar Background vs. Novel Object Familiar Background
o2_beach_C3,0.802479279,Familiar Object Familiar Background vs. Novel Object Familiar Background
o2_beach_C4,0.723031214,Familiar Object Familiar Background vs. Novel Object Familiar Background
o2_beach_C5,0.644041126,Familiar Object Familiar Background vs. Novel Object Familiar Background
o2_beach_C6,0.825637946,Familiar Object Familiar Background vs. Novel Object Familiar Background
o1_forest_C1,0.729598913,Familiar Object Familiar Background vs. Novel Object Familiar Background
o1_forest_C2,0.736411428,Familiar Object Familiar Background vs. Novel Object Familiar Background
o1_forest_C3,0.775759549,Familiar Object Familiar Background vs. Novel Object Familiar Background
o1_forest_C4,0.578463958,Familiar Object Familiar Background vs. Novel Object Familiar Background
o1_forest_C5,0.616029562,Familiar Object Familiar Background vs. Novel Object Familiar Background
o2_forest_C3,0.660968059,Familiar Object Familiar Background vs. Novel Object Familiar Background
o2_forest_C4,0.633527107,Familiar Object Familiar Background vs. Novel Object Familiar Background
o2_forest_C6,0.594257884,Familiar Object Familiar Background vs. Novel Object Familiar Background
o1_highway_C1,0.684461007,Familiar Object Familiar Background vs. Novel Object Novel Background
o1_highway_C2,0.689396456,Familiar Object Familiar Background vs. Novel Object Novel Background
o1_highway_C3,0.833442132,Familiar Object Familiar Background vs. Novel Object Novel Background
o1_highway_C4,0.578204834,Familiar Object Familiar Background vs. Novel Object Novel Background
o1_highway_C5,0.705602922,Familiar Object Familiar Background vs. Novel Object Novel Background
o2_highway_C1,0.82813645,Familiar Object Familiar Background vs. Novel Object Novel Background
o2_highway_C2,0.688919158,Familiar Object Familiar Background vs. Novel Object Novel Background
o2_highway_C3,0.349914442,Familiar Object Familiar Background vs. Novel Object Novel Background
o2_highway_C4,0.652912353,Familiar Object Familiar Background vs. Novel Object Novel Background
o2_highway_C5,0.581763919,Familiar Object Familiar Background vs. Novel Object Novel Background
o2_highway_C6,0.556956447,Familiar Object Familiar Background vs. Novel Object Novel Background
o1_beach_C1,0.635776349,Familiar Object Familiar Background vs. Novel Object Novel Background
o1_beach_C2,0.651773253,Familiar Object Familiar Background vs. Novel Object Novel Background
o1_beach_C3,0.45581979,Familiar Object Familiar Background vs. Novel Object Novel Background
o1_beach_C4,0.836997262,Familiar Object Familiar Background vs. Novel Object Novel Background
o1_beach_C5,0.672052859,Familiar Object Familiar Background vs. Novel Object Novel Background
o1_beach_C6,0.79843297,Familiar Object Familiar Background vs. Novel Object Novel Background
o2_beach_C1,0.56308097,Familiar Object Familiar Background vs. Novel Object Novel Background
o2_beach_C2,0.719796476,Familiar Object Familiar Background vs. Novel Object Novel Background
o2_beach_C3,0.715283662,Familiar Object Familiar Background vs. Novel Object Novel Background
o2_beach_C4,0.581357903,Familiar Object Familiar Background vs. Novel Object Novel Background
o2_beach_C5,0.639033792,Familiar Object Familiar Background vs. Novel Object Novel Background
o2_beach_C6,0.715201041,Familiar Object Familiar Background vs. Novel Object Novel Background
o1_forest_C1,0.598821557,Familiar Object Familiar Background vs. Novel Object Novel Background
o1_forest_C2,0.80534976,Familiar Object Familiar Background vs. Novel Object Novel Background
o1_forest_C3,0.76745311,Familiar Object Familiar Background vs. Novel Object Novel Background
o1_forest_C4,0.663004748,Familiar Object Familiar Background vs. Novel Object Novel Background
o1_forest_C5,0.733410634,Familiar Object Familiar Background vs. Novel Object Novel Background
o2_forest_C3,0.592214738,Familiar Object Familiar Background vs. Novel Object Novel Background
o2_forest_C4,0.514185777,Familiar Object Familiar Background vs. Novel Object Novel Background
o2_forest_C6,0.425907204,Familiar Object Familiar Background vs. Novel Object Novel Background
o1_highway_C1,0.860614956,Familiar Object Novel Background vs. Novel Object Familiar Background
o1_highway_C2,0.789680941,Familiar Object Novel Background vs. Novel Object Familiar Background
o1_highway_C3,0.847120981,Familiar Object Novel Background vs. Novel Object Familiar Background
o1_highway_C4,0.681576666,Familiar Object Novel Background vs. Novel Object Familiar Background
o1_highway_C5,0.706469815,Familiar Object Novel Background vs. Novel Object Familiar Background
o2_highway_C1,0.896121966,Familiar Object Novel Background vs. Novel Object Familiar Background
o2_highway_C2,0.695178802,Familiar Object Novel Background vs. Novel Object Familiar Background
o2_highway_C3,0.643366544,Familiar Object Novel Background vs. Novel Object Familiar Background
o2_highway_C4,0.647303868,Familiar Object Novel Background vs. Novel Object Familiar Background
o2_highway_C5,0.690925078,Familiar Object Novel Background vs. Novel Object Familiar Background
o2_highway_C6,0.614870641,Familiar Object Novel Background vs. Novel Object Familiar Background
o1_beach_C1,0.733962142,Familiar Object Novel Background vs. Novel Object Familiar Background
o1_beach_C2,0.579727591,Familiar Object Novel Background vs. Novel Object Familiar Background
o1_beach_C3,0.634215844,Familiar Object Novel Background vs. Novel Object Familiar Background
o1_beach_C4,0.858648567,Familiar Object Novel Background vs. Novel Object Familiar Background
o1_beach_C5,0.785277681,Familiar Object Novel Background vs. Novel Object Familiar Background
o1_beach_C6,0.916735631,Familiar Object Novel Background vs. Novel Object Familiar Background
o2_beach_C1,0.705731891,Familiar Object Novel Background vs. Novel Object Familiar Background
o2_beach_C2,0.700869418,Familiar Object Novel Background vs. Novel Object Familiar Background
o2_beach_C3,0.843615631,Familiar Object Novel Background vs. Novel Object Familiar Background
o2_beach_C4,0.804880284,Familiar Object Novel Background vs. Novel Object Familiar Background
o2_beach_C5,0.64967708,Familiar Object Novel Background vs. Novel Object Familiar Background
o2_beach_C6,0.771270025,Familiar Object Novel Background vs. Novel Object Familiar Background
o1_forest_C1,0.740266814,Familiar Object Novel Background vs. Novel Object Familiar Background
o1_forest_C2,0.687969905,Familiar Object Novel Background vs. Novel Object Familiar Background
o1_forest_C3,0.677778668,Familiar Object Novel Background vs. Novel Object Familiar Background
o1_forest_C4,0.53959143,Familiar Object Novel Background vs. Novel Object Familiar Background
o1_forest_C5,0.511136798,Familiar Object Novel Background vs. Novel Object Familiar Background
o2_forest_C3,0.650524224,Familiar Object Novel Background vs. Novel Object Familiar Background
o2_forest_C4,0.76172356,Familiar Object Novel Background vs. Novel Object Familiar Background
o2_forest_C6,0.756944508,Familiar Object Novel Background vs. Novel Object Familiar Background
